transaction_id,customer_id,transaction_date,transaction_amount,debit_credit_indicator,transaction_type,channel,transaction_narrative,beneficiary_name,beneficiary_bank
TX001,CUST001,2024-01-05,5800,D,Wire,International_Wire,Tuition Payment Semester 1,University of Oxford,Barclays UK
TX002,CUST002,2024-01-05,12500,D,Wire,International_Wire,Property Investment Payment,London Real Estate Ltd,HSBC UK
TX003,CUST003,2024-01-05,850,D,ATM,ATM,Cash Withdrawal,Self,ATM Network
TX004,CUST004,2024-01-06,3200,D,Wire,Domestic,Healthcare Payment,Private Hospital,Lloyds Bank
TX005,CUST005,2024-01-06,2100,D,Wire,International_Wire,Tuition Fee,Cambridge University,NatWest
TX006,CUST006,2024-01-06,450,C,Online,Domestic,Salary Credit,ABC Corporation,HSBC
TX007,CUST007,2024-01-07,8500,D,Wire,International_Wire,Business Supplier Payment,Tech Solutions Inc,Citibank US
TX008,CUST008,2024-01-07,6100,D,Wire,NRISR,International Wire Transfer,Family Abroad,Standard Chartered
TX009,CUST009,2024-01-08,15000,D,Wire,International_Wire,Equipment Purchase,Industrial Supplies Co,Bank of America
TX010,CUST010,2024-01-08,18,C,Online,Domestic,Freelance Payment,Upwork Client,PayPal
TX011,CUST010,2024-01-08,15,C,Online,Domestic,Freelance Payment,Fiverr Client,PayPal
TX012,CUST010,2024-01-08,22,C,Online,Domestic,Freelance Payment,Freelancer Client,Wise
TX013,CUST010,2024-01-08,19,C,Online,Domestic,Tutoring Payment,Student Parent,Bank Transfer
TX014,CUST011,2024-01-09,1800,D,Branch,Domestic,Fixed Deposit Opening,Self,Barclays UK
TX015,CUST012,2024-01-09,9200,D,Wire,International_Wire,Investment Transfer,Vanguard Investments,JP Morgan
TX016,CUST013,2024-01-10,4500,D,Wire,NRISR,Business Payment,Overseas Supplier,ICICI Bank
TX017,CUST014,2024-01-10,600,D,ATM,ATM,Cash Withdrawal,Self,ATM Network
TX018,CUST015,2024-01-11,7800,D,Wire,International_Wire,Car Loan EMI Payment,Auto Finance Ltd,Santander UK
TX019,CUST016,2024-01-11,6200,D,Wire,International_Wire,University Accommodation,Student Housing Ltd,Barclays UK
TX020,CUST017,2024-01-12,25000,D,Wire,International_Wire,Import Payment,Chinese Manufacturer,Bank of China
TX021,CUST018,2024-01-12,2100,D,Branch,Domestic,Medical Expense,Private Clinic,Lloyds Bank
TX022,CUST019,2024-01-13,10500,D,Wire,NRISR,Investment Abroad,Property Developer,Dubai Islamic Bank
TX023,CUST020,2024-01-13,3200,D,Wire,International_Wire,Business License Fee,UK Gov Authority,Government Bank
TX024,CUST001,2024-01-14,4500,D,Wire,International_Wire,Education Material Purchase,Academic Books Ltd,Amazon Pay
TX025,CUST002,2024-01-15,3800,D,Online,Domestic,Mortgage Payment,Halifax Bank,Halifax
TX026,CUST003,2024-01-15,12000,C,Wire,International_Wire,Client Payment Received,US Client Corporation,Wells Fargo
TX027,CUST004,2024-01-16,900,D,ATM,ATM,Cash Withdrawal,Self,ATM Network
TX028,CUST005,2024-01-16,19,C,Online,Domestic,Small Gig Payment,TaskRabbit,Stripe
TX029,CUST005,2024-01-16,17,C,Online,Domestic,Small Gig Payment,Rover Pet Sitting,PayPal
